J.  Beetem,D.  Dietmeyer,Y.  Hu,R.  Jain,C.  Kime,P.  Ramanathan,K.  Saluja,,,,,,,,,,,,,,,,,,,,,,,,
Feng  Yulin,Huang  Tao,Li  Jing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevan  Harnad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuart C. Shapiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pamela A. Taylor,Dana L. Wyatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew H. Gleibman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter  Daelemans,Koenraad  De Smedt,Gerald  Gazdar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramana  Rao,Stuart K. Card,Herbert D. Jellinek,Jock D. Mackinlay,George G. Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,
Manojit  Sarkar,Marc H. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin  Ware,William  Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Nicol Thomas,James  Pellegrino,Peter  Rowley,Marlene  Scardamalia,Elliot  Soloway,Jim  Webb,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur  James,James C. Spohrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William C. Hill,James D. Hollan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhaoxin  Pan,Joseph J. Pfeiffer Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham  Russell,Afzal  Ballim,John  Carroll,Susan  Warwick-Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,
John A. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan  Borodin,Nathan  Linial,Michael E. Saks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William I. Gasarch,Carl H. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael  Siegel,Edward  Sciore,Sharon  Salveter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nabil  Kamel,Roger  King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen  Van Gelder,Jane  Wilhelms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.  Arango,L.  Bahler,P.  Bates,M.  Cochinwala,D.  Cohrs,R.  Fish,G.  Gopal,N.  Griffeth,G. E. Herman,T.  Hickey,K. C. Lee,W. E. Leland,C.  Lowery,V.  Mak,J.  Patterson,L.  Ruston,M.  Segal,R. C. Sekar,M. P. Vecchi,A.  Weinrib,S.-Y.  Wuu,,,,,,,,,,
